PACKAGE,VERSION/Commit Hash,SOURCE SITE
nodejs,8.16.1-1nodesource1, https://deb.nodesource.com/node_8.x/pool/main/n/nodejs/nodejs_8.16.1-1nodesource1_amd64.deb
ntp,1:4.2.8p10+dfsg-3+deb9u2,
ntpdate,1:4.2.8p10+dfsg-3+deb9u2,
openssh-client,1:7.4p1-10+deb9u7,
openssh-server,1:7.4p1-10+deb9u7,
openssh-sftp-server,1:7.4p1-10+deb9u7,
openssl,1.1.0l-1~deb9u2,
parted,3.2-17,
passwd,1:4.4-4.1,
patch,2.7.5-1+deb9u2,
pciutils,1:3.5.2-1,
perl,5.24.1-3+deb9u7,
perl-base,5.24.1-3+deb9u7,
perl-modules-5.24,5.24.1-3+deb9u7,
pinentry-curses,1.0.0-2,
postgresql,9.6+181+deb9u3,
postgresql-9.6,9.6.20-0+deb9u1,
postgresql-client,9.6+181+deb9u3,
postgresql-client-9.6,9.6.20-0+deb9u1,
postgresql-client-common,181+deb9u3,
postgresql-common,181+deb9u3,
postgresql-contrib,9.6+181+deb9u3,
postgresql-contrib-9.6,9.6.20-0+deb9u1,
procps,2:3.3.12-3+deb9u1,
psmisc,22.21-2.1+b2,
python,2.7.13-2,
python-crypto,2.6.1-7,
python-dnspython,1.15.0-1+deb9u1,
python-ldb,2:1.1.27-1+deb9u1,
python-minimal,2.7.13-2,
python-samba,2:4.5.16+dfsg-1+deb9u3,
python-talloc,2.1.9-2~bpo9+1,
python-tdb,1.3.11-2,
python2.7,2.7.13-2+deb9u4,
python2.7-minimal,2.7.13-2+deb9u4,
python3,3.5.3-1,
python3-certifi,2016.2.28-1,
python3-chardet,3.0.4-1~bpo9+1,
python3-dbus,1.2.4-1+b1,
python3-gi,3.22.0-2,
python3-idna,2.6-1~bpo9+1,
python3-minimal,3.5.3-1,
python3-netifaces,0.10.4-0.1+b2,
python3-pkg-resources,33.1.1-1,
python3-psutil,5.0.1-1,
python3-requests,2.21.0-1~bpo9+1,
python3-six,1.10.0-3,
python3-systemd,233-1,
python3-urllib3,1.24.1-1~bpo9+1,
python3-yaml,3.12-1,
python3.5,3.5.3-1+deb9u3,
python3.5-minimal,3.5.3-1+deb9u3,
readline-common,7.0-3,
rpcbind,0.2.3-0.6,
samba,2:4.5.16+dfsg-1+deb9u3,
samba-common,2:4.5.16+dfsg-1+deb9u3,
samba-common-bin,2:4.5.16+dfsg-1+deb9u3,
samba-libs,2:4.5.16+dfsg-1+deb9u3,
sed,4.4-1,
sensible-utils,0.0.9+deb9u1,
smartmontools,6.5+svn4324-1,
ssl-cert,1.0.39,
sudo,1.8.19p1-2.1+deb9u2,
syslog-ng-core,3.8.1-10,
syslog-ng-mod-journal,3.8.1-10,
sysstat,12.0.3-2~bpo9+1,
systemd,241-5~bpo9+1,
systemd-sysv,241-5~bpo9+1,
sysvinit-utils,2.88dsf-59.9,
tar,1.29b-1.1,
tcpdump,4.9.3-1~deb9u2,
tdb-tools,1.3.11-2,
tzdata,2020d-0+deb9u1,
ucf,3.0036,
udev,241-5~bpo9+1,
ulp-go,1.3.11+1629,
update-inetd,4.44,
usbutils,1:007-4+deb9u1,
util-linux,2.29.2-1+deb9u1,
vim-common,2:8.0.0197-4+deb9u3,
vim-tiny,2:8.0.0197-4+deb9u3,
vlan,1.9-3.2+b1,
wget,1.18-5+deb9u3,
xxd,2:8.0.0197-4+deb9u3,
xz-utils,5.2.2-1.2+b1,
zlib1g,1:1.2.8.dfsg-5,
